"id","product_name","description","style","brand","created_at","updated_at","url","product_type","shipping_price","note","admin_id"
88,"Sports Wear Necktie","Sports Wear Necktie is an amazing Necktie Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Sports Wear","Ed Ellen Degeneres","2018-02-22 04:35:45","2018-10-07 14:27:23","","clothing",1050,"",39
89,"Geeky chic Lipstick","Geeky chic Lipstick is an amazing Lipstick Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Geeky chic","U.S.Polo Association","2018-12-20 12:41:30","2019-02-21 21:02:14","","clothing",832,"",59
90,"Streetwear Pants","Streetwear Pants is an amazing Pants Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Streetwear","Core 10","2018-06-20 01:45:03","2019-01-03 23:25:47","","clothing",1398,"",69
91,"Boho/Bohemian chic Fur coat","Boho/Bohemian chic Fur coat is an amazing Fur coat Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Boho/Bohemian chic","Versus","2018-07-28 09:06:36","2018-10-25 18:36:47","","clothing",940,"",52
92,"Casual Chic Undershirt","Casual Chic Undershirt is an amazing Undershirt Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Casual Chic","I.D. Sarrieri","2018-07-04 16:35:07","2019-01-21 17:58:06","","clothing",918,"",25
93,"Flamboyant Blouse","Flamboyant Blouse is an amazing Blouse Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Flamboyant","HUGO BOSS","2018-04-18 09:17:52","2018-07-16 09:53:28","","clothing",954,"",57
94,"Lagenlook T-Shirt","Lagenlook T-Shirt is an amazing T-Shirt Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Lagenlook","Elomi","2018-02-01 10:33:35","2018-10-10 15:08:12","","clothing",1059,"",48
95,"Cowgirl Cap","Cowgirl Cap is an amazing Cap Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Cowgirl","FiveSeventyFive","2018-12-30 07:34:08","2019-02-15 01:49:13","","clothing",743,"",69
96,"Maternity Cap","Maternity Cap is an amazing Cap Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Maternity","Lanvin","2018-05-27 01:54:53","2018-06-10 02:27:11","","clothing",1177,"",31
97,"Modest Apron","Modest Apron is an amazing Apron Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Modest","Fruit Of The Loom","2018-10-22 03:13:47","2019-02-22 09:18:37","","clothing",1172,"",45
98,"Hip Hop Pants","Hip Hop Pants is an amazing Pants Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Hip Hop","Stella McCartney","2018-07-27 21:46:03","2018-08-31 13:13:17","","clothing",1256,"",38
99,"Geeky chic Tie","Geeky chic Tie is an amazing Tie Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Geeky chic","Diesel","2018-06-02 23:24:13","2018-10-09 12:28:07","","clothing",1246,"",58
100,"Artsy Raincoat","Artsy Raincoat is an amazing Raincoat Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Artsy","PIATTELLI","2018-09-08 04:47:19","2019-01-23 05:52:31","","clothing",1086,"",45
101,"Preppy Bra","Preppy Bra is an amazing Bra Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Preppy","Panache","2018-06-05 19:47:52","2018-06-17 03:42:11","","clothing",953,"",46
102,"Flamboyant Dress","Flamboyant Dress is an amazing Dress Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Flamboyant","Imagine Vince Camuto","2018-09-16 11:07:01","2018-11-09 21:28:49","","clothing",881,"",46
103,"Formal Office Wear Leggings","Formal Office Wear Leggings is an amazing Leggings Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Formal Office Wear","Gloria Vanderbilt","2018-02-21 18:22:08","2018-02-28 13:40:18","","clothing",1226,"",59
104,"Rocker Chic Ear muffs","Rocker Chic Ear muffs is an amazing Ear muffs Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Rocker Chic","Foxcroft","2018-08-03 06:48:08","2018-10-18 03:42:33","","clothing",1459,"",48
105,"Scene Slippers","Scene Slippers is an amazing Slippers Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Scene","Influence Plus","2018-06-09 02:30:06","2018-12-06 01:11:45","","clothing",837,"",31
106,"Geeky chic Stockings","Geeky chic Stockings is an amazing Stockings Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Geeky chic","Weatherproof","2018-09-21 13:00:11","2018-09-24 17:50:43","","clothing",1278,"",40
107,"Ankara Tuxedo","Ankara Tuxedo is an amazing Tuxedo Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Ankara","Nike","2018-11-14 08:05:51","2019-02-07 20:00:42","","clothing",833,"",34
108,"Maternity Glasses","Maternity Glasses is an amazing Glasses Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Maternity","One Teaspoon","2018-06-19 09:36:13","2018-10-22 10:41:44","","clothing",928,"",58
109,"Tomboy Underwear","Tomboy Underwear is an amazing Underwear Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Tomboy","Fleur du Mal","2018-10-15 13:58:18","2018-10-28 08:28:47","","clothing",1115,"",43
110,"Military Bra","Military Bra is an amazing Bra Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Military","With Love Darling","2018-08-27 14:20:39","2019-01-04 19:33:17","","clothing",814,"",72
111,"Cowgirl Helmet","Cowgirl Helmet is an amazing Helmet Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Cowgirl","Marni","2018-11-19 17:35:39","2018-12-01 05:01:19","","clothing",821,"",54
112,"Artsy Bracelet","Artsy Bracelet is an amazing Bracelet Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Artsy","Wolverine","2018-04-02 03:56:28","2018-11-16 03:40:41","","clothing",1436,"",57
113,"Cosplay Vest","Cosplay Vest is an amazing Vest Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Cosplay","FLY London","2018-11-09 02:12:37","2018-12-28 06:23:20","","clothing",1333,"",37
114,"Ankara Lipstick","Ankara Lipstick is an amazing Lipstick Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Ankara","Osiris","2019-01-26 12:45:55","2019-02-25 20:46:00","","clothing",1160,"",40
115,"Flamboyant Belt","Flamboyant Belt is an amazing Belt Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Flamboyant","Pancaldi","2018-07-29 00:54:14","2018-09-22 04:18:43","","clothing",1224,"",23
116,"Retro Slippers","Retro Slippers is an amazing Slippers Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Retro","Neon Buddha","2019-01-29 14:48:21","2019-02-11 10:25:28","","clothing",889,"",34
117,"Scene Scarf","Scene Scarf is an amazing Scarf Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Scene","Cosabella","2018-09-10 07:58:12","2018-09-28 16:27:11","","clothing",1207,"",56
118,"Girl next door Quilted jacket","Girl next door Quilted jacket is an amazing Quilted jacket Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Girl next door","Trina Turk","2018-07-06 15:51:12","2018-11-22 19:24:19","","clothing",808,"",36
119,"Psychedelic Parka","Psychedelic Parka is an amazing Parka Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Psychedelic","Roper","2018-04-11 01:50:26","2019-01-13 05:10:18","","clothing",1039,"",54
120,"Girl next door Parka","Girl next door Parka is an amazing Parka Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Girl next door","Polaroid","2018-11-17 06:24:31","2018-12-06 08:19:03","","clothing",1473,"",34
121,"Vacation Tie","Vacation Tie is an amazing Tie Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Vacation","Via Spiga","2018-10-23 17:24:45","2018-10-28 18:55:08","","clothing",916,"",29
122,"Rocker Chic Helmet","Rocker Chic Helmet is an amazing Helmet Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Rocker Chic","Olymp","2018-11-16 00:59:27","2018-11-23 05:03:44","","clothing",1083,"",29
123,"Rave Necklace","Rave Necklace is an amazing Necklace Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Rave","Levi's","2018-02-23 08:01:04","2018-06-09 19:34:04","","clothing",1438,"",68
124,"Garconne look Boots","Garconne look Boots is an amazing Boots Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Garconne look","Chinese Laundry","2018-07-19 09:00:37","2018-11-06 18:29:46","","clothing",1031,"",64
125,"Streetwear Bikini","Streetwear Bikini is an amazing Bikini Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Streetwear","CALVIN KLEIN 205W39NYC","2018-04-16 02:08:17","2018-09-08 04:32:22","","clothing",874,"",42
126,"Vacation Jumper","Vacation Jumper is an amazing Jumper Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Vacation","Msgm","2018-02-16 08:23:52","2019-02-11 19:18:55","","clothing",1194,"",68
127,"Geeky chic Overalls","Geeky chic Overalls is an amazing Overalls Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Geeky chic","Dolce Vita","2018-08-19 18:47:34","2018-12-02 07:36:11","","clothing",801,"",66
128,"Retro Cardigan","Retro Cardigan is an amazing Cardigan Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Retro","Cuba Vera","2018-02-13 20:41:12","2018-03-01 16:25:14","","clothing",781,"",37
129,"Preppy Blouse","Preppy Blouse is an amazing Blouse Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Preppy","Margaritaville","2019-02-26 23:08:02","2019-02-27 13:12:58","","clothing",954,"",47
130,"Scene Tutu","Scene Tutu is an amazing Tutu Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Scene","A|X Armani Exchange","2018-10-29 06:15:27","2018-12-04 03:23:09","","clothing",823,"",34
131,"Haute Couture Pants","Haute Couture Pants is an amazing Pants Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Haute Couture","Natori","2018-01-15 02:10:42","2018-08-11 19:41:07","","clothing",1340,"",71
132,"Rocker Chic Bikini","Rocker Chic Bikini is an amazing Bikini Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Rocker Chic","Under Armour","2018-12-03 20:52:36","2019-01-28 16:54:54","","clothing",1364,"",64
133,"Streetwear Overalls","Streetwear Overalls is an amazing Overalls Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Streetwear","Rachel Zoe","2018-05-12 22:45:41","2018-09-15 13:51:52","","clothing",1194,"",25
134,"Artsy Pants","Artsy Pants is an amazing Pants Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Artsy","Toms","2019-02-01 00:15:38","2019-02-13 02:22:17","","clothing",712,"",28
135,"Flamboyant Lipstick","Flamboyant Lipstick is an amazing Lipstick Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Flamboyant","Dolce Vita","2018-12-05 15:45:14","2019-01-26 04:27:30","","clothing",1217,"",55
136,"Garconne look Ear muffs","Garconne look Ear muffs is an amazing Ear muffs Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Garconne look","Yeprem","2018-07-27 07:25:36","2018-09-25 00:30:22","","clothing",895,"",62
137,"Sports Wear Parka","Sports Wear Parka is an amazing Parka Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Sports Wear","Heart & Dagger","2018-01-27 19:22:55","2018-10-05 00:16:30","","clothing",1000,"",46
138,"Streetwear Slippers","Streetwear Slippers is an amazing Slippers Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Streetwear","Kasper","2018-06-14 18:45:24","2019-01-28 06:29:46","","clothing",1145,"",24
139,"Streetwear Blouse","Streetwear Blouse is an amazing Blouse Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Streetwear","Clementine Apparel","2018-03-11 04:16:18","2018-05-24 00:44:41","","clothing",847,"",69
140,"Goth Kilt","Goth Kilt is an amazing Kilt Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Goth","GANT","2018-01-10 22:54:37","2018-01-28 18:28:23","","clothing",1059,"",32
141,"Tomboy Belt","Tomboy Belt is an amazing Belt Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Tomboy","Gabby Skye","2018-04-16 01:11:51","2018-08-04 20:01:14","","clothing",1420,"",55
142,"Garconne look Mittens","Garconne look Mittens is an amazing Mittens Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Garconne look","Walls","2019-01-08 11:12:28","2019-01-22 11:23:21","","clothing",1457,"",60
143,"Boho/Bohemian chic Parka","Boho/Bohemian chic Parka is an amazing Parka Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Boho/Bohemian chic","Kappa","2018-05-25 21:14:25","2018-08-03 03:48:10","","clothing",1496,"",62
144,"Garconne look Cardigan","Garconne look Cardigan is an amazing Cardigan Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Garconne look","Yeezy by Kanye West","2018-04-01 16:51:04","2018-12-10 10:03:49","","clothing",878,"",28
145,"Cosplay Skirt","Cosplay Skirt is an amazing Skirt Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Cosplay","Joe's","2018-05-27 04:16:48","2018-06-16 00:23:45","","clothing",960,"",33
146,"Military Hat","Military Hat is an amazing Hat Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Military","Jones New York","2018-02-06 20:37:30","2018-07-29 08:10:11","","clothing",1101,"",61
147,"Girl next door Necktie","Girl next door Necktie is an amazing Necktie Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Girl next door","Vince Camuto","2018-09-30 10:27:21","2019-02-11 07:23:36","","clothing",1263,"",39
148,"Geeky chic Necktie","Geeky chic Necktie is an amazing Necktie Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Geeky chic","Emilio Pucci","2018-10-05 14:46:14","2018-10-11 22:45:47","","clothing",988,"",37
149,"Sports Wear Undershirt","Sports Wear Undershirt is an amazing Undershirt Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Sports Wear","Nautica","2018-10-18 17:40:31","2018-12-09 16:51:59","","clothing",1064,"",67
150,"Modest Pyjamas","Modest Pyjamas is an amazing Pyjamas Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Modest","WT02","2018-06-27 10:05:58","2018-08-04 17:27:50","","clothing",861,"",49
151,"Scene Dress","Scene Dress is an amazing Dress Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Scene","Nicholas Kirkwood","2018-06-16 01:14:02","2018-09-05 02:47:26","","clothing",916,"",24
152,"Modest Earphones","Modest Earphones is an amazing Earphones Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Modest","Taylor Dresses","2018-07-24 20:51:48","2018-09-13 18:55:30","","clothing",1427,"",30
153,"Garconne look Cardigan","Garconne look Cardigan is an amazing Cardigan Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Garconne look","Dondup","2018-08-27 06:14:27","2018-09-14 19:54:44","","clothing",1139,"",70
154,"Rave Blouse","Rave Blouse is an amazing Blouse Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Rave","Ruby Rd.","2018-10-02 18:00:29","2019-02-25 15:42:15","","clothing",1232,"",61
155,"Formal Office Wear Blouse","Formal Office Wear Blouse is an amazing Blouse Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Formal Office Wear","New Balance","2018-07-08 13:17:53","2018-09-20 03:42:09","","clothing",1129,"",37
156,"Artsy Earphones","Artsy Earphones is an amazing Earphones Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Artsy","Veronica Beard","2018-05-21 01:33:11","2018-06-02 23:36:00","","clothing",1266,"",55
157,"Rave Bikini","Rave Bikini is an amazing Bikini Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Rave","No Nonsense","2018-02-25 17:47:29","2018-09-21 04:17:42","","clothing",912,"",47
158,"Casual Chic Bra","Casual Chic Bra is an amazing Bra Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Casual Chic","Y.A.S","2018-07-29 14:32:18","2019-01-16 20:07:05","","clothing",1417,"",67
159,"Flamboyant Earrings","Flamboyant Earrings is an amazing Earrings Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Flamboyant","Terez","2018-10-28 22:30:59","2018-12-22 08:58:49","","clothing",811,"",68
160,"Evening Black Tie Sandals","Evening Black Tie Sandals is an amazing Sandals Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Evening Black Tie","Via Spiga","2018-05-25 06:26:55","2018-06-22 21:27:58","","clothing",741,"",47
161,"Flapper Slippers","Flapper Slippers is an amazing Slippers Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Flapper","Perry Ellis","2018-06-28 19:55:02","2019-02-21 20:14:12","","clothing",817,"",63
162,"Kawai Boots","Kawai Boots is an amazing Boots Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Kawai","Yves Saint Laurent Beauty","2018-04-11 11:04:46","2018-09-17 05:40:50","","clothing",868,"",31
163,"Lagenlook Kilt","Lagenlook Kilt is an amazing Kilt Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Lagenlook","Joules","2018-04-14 12:41:02","2018-08-14 08:36:18","","clothing",741,"",25
164,"Business Casual Necktie","Business Casual Necktie is an amazing Necktie Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Business Casual","Pendleton","2018-06-14 23:23:15","2019-02-23 04:49:52","","clothing",806,"",58
165,"Boho/Bohemian chic Scarf","Boho/Bohemian chic Scarf is an amazing Scarf Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Boho/Bohemian chic","Fashion Union","2019-01-07 01:38:32","2019-02-13 20:46:35","","clothing",1372,"",27
166,"Psychedelic Apron","Psychedelic Apron is an amazing Apron Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Psychedelic","Buxton","2018-02-12 15:25:25","2018-03-13 18:44:59","","clothing",846,"",55
167,"Sports Wear Life-jacket","Sports Wear Life-jacket is an amazing Life-jacket Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Sports Wear","New Look","2018-06-07 21:26:22","2019-02-13 14:24:24","","clothing",1020,"",68
168,"Artsy Dungarees","Artsy Dungarees is an amazing Dungarees Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Artsy","Wonderbra","2018-08-06 16:23:53","2018-08-16 04:56:44","","clothing",1190,"",39
169,"Girly  Parka","Girly  Parka is an amazing Parka Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Girly ","Gold Toe","2019-01-01 13:46:30","2019-01-26 23:12:06","","clothing",758,"",39
170,"Military Quilted jacket","Military Quilted jacket is an amazing Quilted jacket Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Military","Stacy Adams","2018-04-14 03:23:00","2019-01-07 08:04:42","","clothing",848,"",63
171,"Grunge Blouse","Grunge Blouse is an amazing Blouse Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Grunge","Alo Yoga","2018-06-08 22:16:41","2018-10-01 12:54:36","","clothing",1212,"",62
172,"Girly  Glasses","Girly  Glasses is an amazing Glasses Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Girly ","Issey Miyake","2018-10-06 19:17:19","2019-02-08 12:48:09","","clothing",1294,"",27
