"id","product_id","quantity","color","size","weight","price_cents","sale_price_cents","cost_cents","sku","length","width","height","note"
258,8681,7,"Checkered","L",9,2543,2343,1883,"MMHVYS",3,3,8,""
259,2160,31,"Dark Blue","XS",2,1661,1461,1359,"FJNVSG",9,9,6,""
260,1209,9,"Grey","L",8,2058,1858,1768,"FWJONW",5,9,9,""
261,7491,20,"Metallic Red","XXL",8,1460,1260,1343,"NEELRI",4,9,8,""
262,2523,18,"Steel Blue","XL",5,1970,1770,1801,"GZZGTZ",7,5,3,""
263,7139,14,"Metallic Red","XL",0,2724,2524,1843,"BWSXOH",7,3,2,""
264,9810,26,"Grey","L",2,2553,2353,2076,"GIHTHE",5,2,2,""
265,4423,22,"Dark Blue","XXL",1,3252,3052,2530,"ZENJXS",3,4,7,""
266,6370,10,"Metallic Red","XXL",2,3370,3170,3220,"RIWIYF",7,8,5,""
267,3315,31,"Green","XXL",3,1944,1744,1688,"MKJQHR",9,5,4,""
268,6406,10,"Black","L",1,1516,1316,1237,"KJGJQU",2,3,5,""
269,8428,12,"Pink","XL",8,2699,2499,2057,"KSQWGS",7,3,2,""
270,2008,25,"Green","XS",8,2602,2402,1885,"HKHZYJ",8,5,2,""
271,4628,10,"Cherry Red","XS",8,2566,2366,2240,"GETGQV",3,3,8,""
272,5822,18,"Cherry Red","S",6,2044,1844,1245,"XAAYFH",6,3,2,""
273,4878,12,"Steel Blue","S",4,1476,1276,964,"NIUAKS",2,2,4,""
274,2818,14,"Beige","XL",2,2449,2249,1898,"OZLCXV",9,9,6,""
275,2405,2,"Steel Blue","S",4,1492,1292,986,"DMPMNR",9,5,4,""
276,1053,38,"Cherry Red","XL",9,1756,1556,1386,"GSEKHP",7,9,9,""
277,8612,38,"Pink","XL",0,2386,2186,2172,"XYDMHG",6,2,8,""
278,9709,28,"Beige","L",6,1347,1147,1173,"EKBVKL",3,2,7,""
279,8878,24,"Purple","XL",0,3385,3185,3176,"VDUVKZ",9,9,6,""
280,4927,31,"Purple","L",6,1402,1202,959,"ZMWRCD",5,9,3,""
281,4253,2,"Metallic Red","M",7,3070,2870,2874,"MZPUDD",7,4,9,""
282,1601,26,"Orange","L",5,2209,2009,1454,"QJDZBG",2,3,8,""
283,2534,30,"Green","M",1,1212,1012,557,"JITOES",6,9,9,""
284,8528,38,"Beige","XXL",6,1986,1786,1591,"TSBOLD",3,7,3,""
285,8799,10,"Light Grey","XS",1,1443,1243,648,"BVSBTS",3,4,4,""
286,2772,12,"Green","M",2,1182,982,534,"TCDDVR",7,7,6,""
287,2900,28,"Purple","M",5,3310,3110,2627,"SCTLZF",3,7,6,""
288,5919,31,"Blue","L",6,3450,3250,2834,"LJCDZJ",8,9,2,""
289,8753,23,"Steel Blue","XXL",8,1697,1497,1024,"FTMWIR",4,4,4,""
290,7916,10,"Blue","L",3,1930,1730,1064,"YKBQBD",9,9,6,""
291,1193,29,"Metallic Red","M",4,2433,2233,1944,"BFASFC",5,5,2,""
292,5284,27,"Grey","XL",6,2268,2068,1398,"RYRPHG",9,6,3,""
293,7718,5,"Blue","M",6,1093,893,849,"LJCKVC",9,5,4,""
294,8153,5,"Blue","XL",9,2450,2250,1598,"TQPURC",7,7,4,""
295,3972,20,"Orange","M",0,1236,1036,383,"LOKXIP",7,7,6,""
296,9681,22,"Cherry Red","M",2,1532,1332,999,"GICGYI",9,6,3,""
297,3495,33,"Light Grey","XXL",5,1771,1571,953,"CGRQRK",6,3,7,""
298,2643,35,"Beige","S",6,1170,970,741,"QYGLDU",7,3,9,""
299,6062,26,"Blue","XS",5,2119,1919,1257,"ORDULA",5,5,2,""
300,5638,23,"Pink","L",9,2054,1854,1460,"EKGUXU",9,2,5,""
301,9627,9,"Black","M",2,2227,2027,1548,"YLWFZH",9,5,9,""
302,8049,37,"Blue","M",0,1734,1534,1585,"BCGNRH",2,3,9,""
303,2596,10,"Metallic Red","S",1,2034,1834,1768,"OAHMSF",8,4,7,""
304,9536,15,"Orange","M",2,1150,950,523,"ZKQVFV",8,4,9,""
305,2898,2,"Blue","XS",0,1045,845,291,"JXRHXU",6,7,6,""
306,7834,17,"Blue","XXL",0,1547,1347,1185,"UECCUD",5,4,8,""
307,242,8,"Steel Blue","S",7,1598,1398,1349,"HEFWEO",5,4,9,""
308,7977,16,"Dark Blue","XXL",0,2621,2421,2145,"TTPOWI",6,2,5,""
309,3426,39,"Grey","L",0,2118,1918,1817,"NARMPR",4,9,5,""
310,7444,5,"Metallic Red","XS",1,2244,2044,1787,"WOMSCD",8,4,9,""
311,1761,10,"Pink","L",3,2123,1923,1715,"IIKJQK",3,6,7,""
312,5178,22,"Checkered","S",7,2712,2512,2329,"BGOPTB",8,8,3,""
313,5960,6,"Dark Blue","XS",0,1014,814,767,"TXPYFJ",3,4,7,""
314,3181,39,"Steel Blue","XS",7,3467,3267,3249,"KDTYSB",2,7,6,""
315,6214,5,"Light Grey","M",8,3487,3287,3097,"HUHUAG",4,5,5,""
316,4443,16,"Cherry Red","XS",8,1370,1170,1061,"LUFLXL",4,6,6,""
317,2059,16,"Steel Blue","M",4,2014,1814,1556,"MIYCWF",7,2,5,""
318,4001,10,"Dark Blue","XS",7,1097,897,232,"FFLJDX",6,6,6,""
319,5105,14,"Pink","XXL",3,2839,2639,2287,"PAXSFH",9,5,4,""
320,8373,23,"Metallic Red","XXL",8,2609,2409,2503,"JARIIL",9,6,2,""
321,5365,28,"Black","XL",5,2974,2774,2702,"LHXICH",7,5,2,""
322,9935,38,"Pink","XXL",2,3451,3251,2604,"ETPTLP",8,8,3,""
323,546,3,"Dark Blue","XS",4,924,724,696,"OVKUSW",3,3,9,""
324,5867,27,"Dark Blue","XL",0,2233,2033,1431,"IDKAMK",5,9,8,""
325,9936,26,"Blue","XS",6,1965,1765,1716,"TBDVWI",7,3,2,""
326,7976,8,"Orange","XXL",8,1632,1432,756,"NSJKLQ",3,3,3,""
327,8957,23,"Steel Blue","XL",7,1565,1365,1433,"XPSISZ",2,3,6,""
328,4193,3,"Blue","M",9,2148,1948,1735,"IIAORO",6,2,6,""
329,3261,27,"Grey","XS",2,3212,3012,2697,"VYOIDH",8,3,8,""
330,2268,26,"Cherry Red","XS",8,2853,2653,2159,"LPFAAN",2,2,3,""
331,4270,9,"Steel Blue","XXL",7,2370,2170,2224,"YCQQVB",8,8,8,""
332,5467,2,"Grey","XS",1,1788,1588,1146,"JXLQYR",3,3,3,""
333,5113,30,"Pink","M",4,1832,1632,1656,"FNWMZD",7,4,5,""
334,9036,34,"Orange","S",6,2259,2059,1438,"ZZANKY",6,6,9,""
335,3447,2,"Blue","XS",2,977,777,228,"VVCDTE",5,5,4,""
336,5761,17,"Black","S",9,1748,1548,967,"SXDAHL",5,6,8,""
337,2083,38,"Steel Blue","XXL",1,2024,1824,1129,"YYUZEI",2,2,2,""
338,900,26,"Light Grey","M",1,3135,2935,2985,"XQHQTC",6,2,9,""
339,1468,19,"Light Grey","M",1,3325,3125,2892,"YNFEYD",5,2,2,""
340,2386,16,"Light Grey","XL",5,2399,2199,1786,"JGLNQX",6,9,9,""
341,1283,22,"Cherry Red","L",4,2834,2634,2311,"GCQWXA",4,4,3,""
342,982,15,"Blue","XS",5,3329,3129,3169,"UZGGEU",6,9,8,""
343,3326,3,"Light Grey","XL",8,2214,2014,2060,"QNKUKY",7,7,3,""
344,6926,36,"Blue","XS",7,1958,1758,1596,"QZYXLM",6,2,7,""
345,9925,2,"Cherry Red","XXL",3,3048,2848,2714,"YGNXBB",9,6,6,""
346,2875,28,"Blue","XXL",9,1760,1560,1373,"LDTQTV",4,9,7,""
347,209,39,"Blue","XXL",9,1897,1697,1101,"KXLDTT",4,7,8,""
348,8884,17,"Cherry Red","XS",9,1736,1536,1549,"GUAKMD",6,2,7,""
349,8531,19,"Purple","S",3,1993,1793,1733,"DMXBEB",8,8,3,""
350,8681,20,"Checkered","XS",8,3394,3194,3268,"JOCUJR",6,6,7,""
351,495,29,"Grey","S",3,1488,1288,1044,"SMUMYW",7,7,4,""
352,3089,24,"Blue","XXL",9,2751,2551,2552,"YFEESQ",7,2,5,""
353,5976,15,"Grey","XXL",7,1679,1479,1296,"WXIFFC",7,4,4,""
354,8411,1,"Beige","S",6,2253,2053,1937,"NENYOP",3,8,8,""
355,5374,20,"Pink","L",9,972,772,669,"RCZUTJ",2,7,6,""
356,8196,31,"Purple","M",3,1825,1625,1502,"EOKUFK",3,7,6,""
357,9658,9,"Metallic Red","M",8,1506,1306,1143,"TMURDR",6,6,9,""
358,5604,15,"Pink","L",3,2907,2707,2393,"KCXGOZ",7,2,2,""
359,5095,19,"Dark Blue","L",7,2959,2759,2147,"TQGRES",3,7,5,""
360,8249,14,"Light Grey","XL",4,3233,3033,2920,"POYCIC",3,8,8,""
361,9124,34,"Black","XL",3,2591,2391,2255,"YRADMX",5,5,2,""
362,7575,38,"Dark Blue","L",1,2674,2474,1798,"JHZVPQ",3,6,4,""
363,9638,26,"Cherry Red","S",2,2851,2651,2377,"LNLEFR",9,6,6,""
364,2813,2,"Checkered","XL",5,1405,1205,891,"LLOAKB",9,5,5,""
365,7227,31,"Dark Blue","S",9,1297,1097,951,"YWKILT",5,9,4,""
366,9453,23,"Purple","XXL",4,1303,1103,589,"DKLUUX",7,3,9,""
367,2876,33,"Dark Blue","XS",4,2628,2428,2325,"QTRWYS",5,9,3,""
368,8363,8,"Orange","M",9,2064,1864,1919,"SKOMCQ",6,9,5,""
369,6123,39,"Cherry Red","XXL",6,3225,3025,2760,"KLOUXN",8,5,9,""
370,7598,37,"Green","M",4,1945,1745,1408,"DRCHYL",3,7,6,""
371,4837,19,"Metallic Red","XXL",8,3031,2831,2694,"OTAROL",6,2,7,""
372,6344,1,"Grey","XXL",5,2412,2212,1722,"YWFQYB",7,5,6,""
373,2621,16,"Light Grey","S",3,3435,3235,3249,"WHRUYZ",8,2,7,""
374,2864,14,"Cherry Red","L",3,1054,854,548,"WCYRVW",6,7,9,""
375,8853,33,"Grey","XS",6,2278,2078,1573,"UJSGIP",8,9,4,""
376,391,11,"Pink","S",7,3150,2950,3040,"NZGBNH",8,8,9,""
377,2802,6,"Metallic Red","XL",3,1942,1742,1283,"JSGFWW",5,7,2,""
378,4929,24,"Cherry Red","XL",5,2426,2226,2293,"CJPXLX",7,7,4,""
379,5948,35,"Steel Blue","S",6,3481,3281,3099,"FTVKVA",5,4,3,""
380,6318,10,"Beige","S",2,1166,966,1013,"ACCHHJ",6,9,7,""
381,1231,27,"Green","S",6,2131,1931,1560,"DKSNEE",3,7,6,""
382,3241,29,"Pink","M",2,3071,2871,2411,"VPXJDL",5,5,2,""
383,8562,3,"Light Grey","XL",5,1169,969,621,"EXGIDP",2,2,5,""
384,3742,6,"Green","L",7,1478,1278,892,"SCZXFT",7,9,2,""
385,8001,32,"Beige","XL",5,2606,2406,2445,"OWVYWX",5,6,4,""
386,5778,28,"Light Grey","L",9,1639,1439,1343,"KMMRCO",9,6,3,""
387,4018,1,"Orange","L",3,3365,3165,2863,"AYNUJZ",3,7,6,""
388,9119,30,"Light Grey","XS",6,2744,2544,2128,"NPQQJS",9,9,6,""
389,5460,11,"Pink","L",2,1976,1776,1544,"DUCDBX",2,7,6,""
390,1176,17,"Checkered","L",1,1349,1149,690,"BZLMYQ",8,4,9,""
391,8220,14,"Steel Blue","XS",7,1771,1571,1127,"TNHMZL",9,2,6,""
392,3749,30,"Beige","L",7,3320,3120,2971,"YPUOIT",5,5,4,""
393,930,15,"Green","M",3,2497,2297,1835,"USFFGU",4,9,8,""
394,4882,37,"Light Grey","S",8,3391,3191,3106,"OVIAWD",9,6,5,""
395,5780,32,"Orange","XS",3,1111,911,686,"UQQOXO",8,5,9,""
396,6394,36,"Blue","L",1,3410,3210,3241,"WUURTF",8,8,9,""
397,2595,35,"Purple","XL",3,1892,1692,1726,"LBQDZA",2,5,2,""
398,2555,16,"Metallic Red","XXL",5,1066,866,473,"CMOETM",3,7,8,""
399,9002,7,"Pink","XS",7,2784,2584,2405,"SQQYSJ",9,5,6,""
400,6893,3,"Beige","S",8,2275,2075,1775,"ZREHPX",4,8,2,""
401,7590,11,"Grey","XS",5,2456,2256,1732,"DTDLFL",3,7,3,""
402,9931,10,"Beige","M",0,3109,2909,2932,"DHXBZM",4,4,9,""
403,7081,22,"Steel Blue","XS",0,3065,2865,2822,"ZRKRPK",5,5,4,""
404,2149,24,"Metallic Red","XXL",4,1589,1389,964,"QZWLJF",8,6,3,""
405,8218,21,"Checkered","S",8,3401,3201,3051,"TNFKAS",4,8,5,""
406,3653,8,"Steel Blue","S",0,2087,1887,1743,"DTTXIU",3,7,6,""
407,5124,3,"Beige","XS",7,3249,3049,2882,"FXHCVH",8,3,3,""
408,276,30,"Cherry Red","XXL",7,2552,2352,1812,"TGDGQC",4,5,5,""
409,3419,20,"Blue","XS",9,1157,957,292,"EDFHHI",5,2,8,""
410,4458,33,"Pink","S",2,3372,3172,2538,"DDIKZM",2,2,5,""
411,5580,16,"Checkered","S",0,1138,938,341,"IWDZFS",9,6,6,""
412,8726,31,"Steel Blue","XXL",7,1881,1681,984,"GDAZFV",3,4,4,""
413,4158,17,"Pink","S",9,2245,2045,1814,"IMNIPU",5,4,7,""
414,9891,37,"Green","XL",9,2894,2694,2639,"MALOZY",7,3,4,""
415,9331,11,"Beige","M",2,1539,1339,691,"JZVVZM",2,3,2,""
416,122,2,"Beige","S",4,2612,2412,1996,"MCSXOW",6,2,7,""
417,8607,2,"Steel Blue","XXL",4,997,797,832,"EASXBP",8,8,3,""
418,2803,29,"Metallic Red","M",1,2251,2051,2112,"FXWHZD",2,3,2,""
419,6193,39,"Purple","XL",4,2396,2196,2254,"XAFUCI",9,2,9,""
420,4091,21,"Black","XS",9,3000,2800,2883,"BQYTYN",4,5,5,""
421,5354,8,"Cherry Red","XXL",2,2186,1986,2015,"DFBATL",3,3,2,""
422,3317,33,"Metallic Red","M",2,1377,1177,641,"KJZQBE",9,2,5,""
423,3930,22,"Checkered","L",8,2795,2595,2570,"QXXWOT",4,8,5,""
424,3323,4,"Beige","M",3,1058,858,922,"HNCTJS",6,9,7,""
425,4105,23,"Dark Blue","XS",5,2000,1800,1560,"XQTESX",2,2,2,""
426,4767,32,"Purple","L",1,2841,2641,2154,"PYAGBZ",6,7,9,""
427,1684,22,"Green","S",2,3155,2955,3037,"VZXAZX",8,9,7,""
428,9156,27,"Steel Blue","S",1,1193,993,726,"MNKBDM",5,2,5,""
429,1580,4,"Grey","M",3,2157,1957,1445,"WNFXXP",3,7,6,""
430,9954,11,"Metallic Red","L",3,2114,1914,1422,"MTZIIY",7,3,2,""
431,5602,11,"Green","XS",1,1927,1727,1827,"RSTXCD",9,7,4,""
432,6978,10,"Light Grey","XXL",5,2379,2179,1485,"PWRXUZ",8,3,8,""
433,7332,38,"Grey","S",2,1370,1170,1238,"TGLAVX",8,9,4,""
434,5088,7,"Beige","XXL",1,1838,1638,1149,"ENQXDZ",2,7,4,""
435,5725,8,"Blue","XXL",1,1245,1045,1046,"WBOETE",2,2,5,""
436,9717,37,"Dark Blue","XS",2,2948,2748,2172,"TRZDZD",5,7,4,""
437,8280,19,"Grey","XS",9,3184,2984,2682,"JUEFIX",5,4,8,""
438,6745,18,"Light Grey","XL",1,2777,2577,2416,"AVAHBY",8,9,5,""
439,5718,38,"Dark Blue","M",0,3267,3067,2760,"TPAXOV",2,2,2,""
440,8403,36,"Pink","XS",7,2686,2486,1972,"GQJMLP",6,5,7,""
441,6237,19,"Pink","XL",2,2774,2574,2080,"PWTEQT",2,6,4,""
442,6390,5,"Light Grey","XXL",6,2329,2129,2129,"YXFGTZ",6,7,5,""
443,6788,15,"Dark Blue","XS",5,2762,2562,2046,"IYSQXD",2,9,9,""
444,310,2,"Purple","L",6,2629,2429,2342,"HLTUQF",2,7,6,""
445,8745,10,"Light Grey","L",1,2209,2009,1571,"WAQQSA",5,3,5,""
446,4858,25,"Light Grey","XXL",4,3323,3123,3221,"NIQUFI",5,6,9,""
447,5584,29,"Cherry Red","M",6,2860,2660,2226,"MUXPVT",8,4,9,""
448,2936,34,"Grey","L",5,1823,1623,1478,"DISQXG",2,2,3,""
449,6827,18,"Blue","S",3,1491,1291,1262,"ABWTEH",3,8,5,""
450,1519,24,"Steel Blue","M",0,3179,2979,2779,"LXTONV",6,3,7,""
451,6206,10,"Light Grey","XS",3,1124,924,418,"DUPCDD",5,2,4,""
452,221,9,"Green","L",0,2562,2362,1688,"AGDMZF",6,7,4,""
453,9249,12,"Blue","M",7,3100,2900,2809,"HXKUFB",8,3,3,""
454,2228,19,"Pink","M",1,2614,2414,1905,"LEOKJQ",8,8,2,""
455,255,4,"Dark Blue","S",1,2061,1861,1180,"YAHBQB",5,6,3,""
456,6824,27,"Light Grey","XXL",7,2605,2405,1738,"DZELQA",4,9,5,""
457,595,15,"Orange","XL",9,3017,2817,2717,"HPMYJU",3,6,6,""
458,6709,22,"Dark Blue","L",3,1943,1743,1671,"ULHZNS",7,6,6,""
459,5069,20,"Purple","XS",2,3471,3271,2846,"FPBQAN",2,3,8,""
460,2919,29,"Beige","M",4,1729,1529,991,"BJQALX",6,6,9,""
461,9917,38,"Orange","M",4,2421,2221,1956,"BYWOZA",7,3,2,""
462,1497,21,"Orange","XS",5,1271,1071,1159,"TMHXRV",8,4,4,""
463,9724,12,"Orange","L",4,2161,1961,1447,"ZRRLUE",9,4,8,""
464,5442,18,"Green","M",9,2475,2275,1652,"IIKECL",8,8,3,""
465,6534,4,"Cherry Red","L",3,2459,2259,1855,"QWHUML",3,7,6,""
466,2463,22,"Steel Blue","L",2,3467,3267,2689,"HKSMMN",3,2,8,""
467,879,24,"Beige","XL",9,2724,2524,1982,"NLHVIK",7,3,3,""
468,5158,25,"Grey","XS",1,2701,2501,2053,"EHFMWO",8,5,2,""
469,1563,13,"Black","XL",8,2798,2598,2417,"DULRCI",7,7,7,""
470,3253,14,"Grey","XS",1,905,705,226,"VAUGPQ",2,3,6,""
471,3797,4,"Cherry Red","XL",4,2385,2185,1835,"LVITUD",7,6,3,""
472,9710,6,"Green","XS",6,1381,1181,1052,"YREVOX",9,9,9,""
473,3449,36,"Dark Blue","XXL",3,2858,2658,2663,"KGEODD",4,4,5,""
474,7969,14,"Checkered","XL",5,3163,2963,2771,"MOPFXC",7,8,4,""
475,4651,8,"Blue","XS",2,2287,2087,1586,"XDQJPA",9,3,8,""
476,5023,7,"Grey","S",2,2360,2160,1551,"USVKRF",8,4,9,""
477,7560,9,"Blue","XS",7,2218,2018,1647,"WHAOLG",7,7,9,""
478,8925,33,"Orange","XXL",0,2061,1861,1730,"PJCHXM",3,3,8,""
479,1573,14,"Black","M",4,2531,2331,1839,"NYGCGW",7,7,4,""
480,8038,2,"Purple","L",6,3424,3224,2545,"BSUUNZ",7,5,4,""
481,7312,15,"Blue","XS",4,2676,2476,2574,"OEMOPA",3,7,6,""
482,84,18,"Steel Blue","M",2,3220,3020,2574,"PSLXMU",8,5,4,""
483,5716,32,"Blue","XL",9,2591,2391,1812,"XKOXWD",9,6,3,""
484,3670,23,"Beige","S",1,2399,2199,1741,"RFSUON",6,9,4,""
485,9379,32,"Blue","XXL",4,3399,3199,3099,"ZSPWUQ",9,4,9,""
486,7673,15,"Metallic Red","XL",4,2606,2406,1712,"MMPPTZ",5,3,2,""
487,8223,2,"Green","XL",2,2819,2619,2484,"ZCQPNT",4,9,5,""
488,2469,27,"Orange","XXL",6,3283,3083,2526,"BTQZOT",8,5,9,""
489,8572,1,"Steel Blue","L",1,1553,1353,936,"NHHPAL",7,4,4,""
490,1008,26,"Purple","L",3,1322,1122,1202,"TBVPFY",8,8,2,""
491,5241,5,"Purple","L",2,2068,1868,1191,"DGYTGS",6,2,3,""
492,4129,14,"Grey","L",7,1070,870,319,"ODELOZ",4,7,4,""
493,6526,3,"Pink","L",8,3349,3149,2732,"OHUWKL",5,5,2,""
494,122,20,"Steel Blue","XXL",7,1339,1139,769,"RPOVGG",9,5,3,""
495,4149,9,"Beige","XL",6,1930,1730,1282,"MKGARW",9,9,6,""
496,3005,25,"Checkered","XL",1,1052,852,605,"UWTQMD",5,4,9,""
497,1715,34,"Dark Blue","L",1,2931,2731,2621,"RXRSVJ",5,9,2,""
498,8910,35,"Black","M",7,2609,2409,1933,"XBOOIB",2,5,7,""
499,7604,12,"Purple","XXL",4,1474,1274,1190,"CYBNKW",8,7,7,""
500,9279,24,"Light Grey","XL",2,2166,1966,1564,"DTVFJW",5,4,8,""
501,290,12,"Pink","L",3,1149,949,250,"KBGGVV",9,5,6,""
502,7186,5,"Orange","XL",9,1269,1069,484,"UPAWSD",5,3,2,""
503,880,31,"Purple","L",9,3431,3231,2870,"AKAPXD",7,4,6,""
504,5653,31,"Orange","XL",5,2436,2236,1856,"NUHKGJ",6,7,6,""
505,3786,32,"Grey","L",3,1113,913,1008,"WLGMKY",5,5,2,""
506,3981,23,"Grey","L",2,2873,2673,2069,"MNNOLL",4,8,5,""
507,7715,31,"Steel Blue","XS",0,2055,1855,1404,"JSGEBG",9,9,6,""
508,4797,5,"Steel Blue","S",9,1133,933,315,"GVLUPV",2,6,2,""
509,7553,21,"Beige","M",9,2446,2246,1803,"IAAMNS",8,9,6,""
510,4883,27,"Pink","XXL",8,2562,2362,2339,"OUGQPK",4,9,7,""
511,8926,4,"Beige","XXL",2,1567,1367,1233,"WRXUGF",5,9,8,""
512,8619,1,"Orange","M",8,1011,811,903,"PXJPCR",8,9,7,""
513,813,15,"Steel Blue","XS",0,2343,2143,2052,"RNWEPC",8,9,8,""
514,4572,36,"Checkered","XL",1,3092,2892,2610,"ZCBDQO",2,3,5,""
515,4976,21,"Cherry Red","L",3,1774,1574,1642,"USNSUM",2,4,5,""
516,9215,12,"Checkered","M",0,1941,1741,1611,"KNQVDJ",9,7,6,""
517,9893,12,"Black","XXL",3,1781,1581,1662,"FGWFLS",9,9,8,""
518,8096,37,"Purple","XL",7,2063,1863,1929,"CNNQWR",3,3,3,""
